global_index,sim_name,family,law,split,index,R,T_g,W_g0,delta_max,t_start_delta,dt_ramp,dt_1,dt_2,dt_up,dt_hold,dt_down,dt_ramp1,dt_hold1,dt_ramp2,dt_hold2
0,sim_A_000_train,A,0,train,0,0.487728,0.763525,39.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
1,sim_A_001_train,A,0,train,1,0.587495,1.051906,46.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
2,sim_A_002_train,A,0,train,2,0.224491,1.129439,17.9593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
3,sim_A_003_train,A,0,train,3,0.486013,0.347372,38.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
4,sim_A_004_train,A,0,train,4,0.285305,1.189448,22.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
5,sim_A_005_train,A,0,train,5,0.501352,0.800729,40.1082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
6,sim_A_006_test,A,0,test,6,0.379563,0.789973,30.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
7,sim_A_007_test,A,0,test,7,0.262941,0.890943,21.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
8,sim_B1_000_train,B1,1,train,0,0.148338,1.164793,11.867,4.175335,0.631661,0.165552,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,sim_B1_001_train,B1,1,train,1,0.254594,1.068469,20.3675,3.538775,0.575415,0.127932,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,sim_B1_002_train,B1,1,train,2,0.320059,0.322935,25.6047,9.558036,0.762718,0.17165,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,sim_B1_003_train,B1,1,train,3,0.390716,0.453884,31.2573,12.18445,0.385891,0.321363,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,sim_B1_004_train,B1,1,train,4,0.113264,0.839802,9.0611,19.923387,0.392186,0.055905,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,sim_B1_005_train,B1,1,train,5,0.393302,1.178054,31.4642,15.976461,0.255969,0.312786,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,sim_B1_006_train,B1,1,train,6,0.504844,1.08395,40.3875,14.860809,0.702932,0.163774,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,sim_B1_007_train,B1,1,train,7,0.516622,0.683754,41.3298,11.785105,0.382752,0.223043,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,sim_B1_008_train,B1,1,train,8,0.477488,0.733349,38.199,6.963934,0.757117,0.212081,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,sim_B1_009_train,B1,1,train,9,0.370784,0.404875,29.6627,5.602738,0.783527,0.327637,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,sim_B1_010_train,B1,1,train,10,0.103896,0.930767,8.3117,3.547319,0.763905,0.342768,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,sim_B1_011_train,B1,1,train,11,0.521784,0.942898,41.7427,17.347759,0.582052,0.436865,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,sim_B1_012_train,B1,1,train,12,0.265033,1.100052,21.2026,11.29084,0.789863,0.100047,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,sim_B1_013_train,B1,1,train,13,0.26669,0.489366,21.3352,16.759328,0.224152,0.225349,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,sim_B1_014_train,B1,1,train,14,0.490776,0.945679,39.2621,7.660343,0.649909,0.118484,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,sim_B1_015_train,B1,1,train,15,0.111173,0.42736,8.8938,9.713176,0.393335,0.290799,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,sim_B1_016_test,B1,1,test,16,0.202335,0.58523,16.1868,14.574589,0.207687,0.295422,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,sim_B1_017_test,B1,1,test,17,0.349382,0.856225,27.9506,4.471625,0.447666,0.169703,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,sim_B1_018_test,B1,1,test,18,0.590443,0.849978,47.2354,13.568695,0.637709,0.274691,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,sim_B1_019_test,B1,1,test,19,0.599163,0.752199,47.933,11.334211,0.633684,0.121211,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,sim_B2_000_train,B2,2,train,0,0.547218,0.728579,43.7774,18.309836,0.389655,nan,0.085103,0.144897,nan,nan,nan,nan,nan,nan,nan
29,sim_B2_001_train,B2,2,train,1,0.393301,1.069891,31.4641,9.907822,0.683768,nan,0.100161,0.139594,nan,nan,nan,nan,nan,nan,nan
30,sim_B2_002_train,B2,2,train,2,0.475679,0.413416,38.0543,6.640045,0.433639,nan,0.070962,0.113912,nan,nan,nan,nan,nan,nan,nan
31,sim_B2_003_train,B2,2,train,3,0.44228,0.61668,35.3824,14.346184,0.216183,nan,0.104462,0.171836,nan,nan,nan,nan,nan,nan,nan
32,sim_B2_004_train,B2,2,train,4,0.573633,1.161257,45.8906,4.109993,0.735811,nan,0.147628,0.302141,nan,nan,nan,nan,nan,nan,nan
33,sim_B2_005_train,B2,2,train,5,0.346991,0.738339,27.7593,15.043951,0.613487,nan,0.075678,0.151756,nan,nan,nan,nan,nan,nan,nan
34,sim_B2_006_train,B2,2,train,6,0.211421,1.116286,16.9137,2.492854,0.653329,nan,0.143693,0.311787,nan,nan,nan,nan,nan,nan,nan
35,sim_B2_007_train,B2,2,train,7,0.255476,0.355103,20.4381,11.650064,0.699853,nan,0.107504,0.133729,nan,nan,nan,nan,nan,nan,nan
36,sim_B2_008_train,B2,2,train,8,0.285392,1.106242,22.8314,12.849868,0.454749,nan,0.190516,0.361702,nan,nan,nan,nan,nan,nan,nan
37,sim_B2_009_train,B2,2,train,9,0.312296,0.469542,24.9837,11.755274,0.412621,nan,0.159433,0.185457,nan,nan,nan,nan,nan,nan,nan
38,sim_B2_010_train,B2,2,train,10,0.532588,0.789132,42.607,8.294666,0.383723,nan,0.143872,0.252979,nan,nan,nan,nan,nan,nan,nan
39,sim_B2_011_train,B2,2,train,11,0.364862,0.729555,29.189,3.290402,0.275712,nan,0.165605,0.368582,nan,nan,nan,nan,nan,nan,nan
40,sim_B2_012_test,B2,2,test,12,0.180181,1.149819,14.4145,11.11544,0.221232,nan,0.112978,0.21404,nan,nan,nan,nan,nan,nan,nan
41,sim_B2_013_test,B2,2,test,13,0.208619,0.52901,16.6895,16.052631,0.291119,nan,0.059526,0.136034,nan,nan,nan,nan,nan,nan,nan
42,sim_B2_014_test,B2,2,test,14,0.119934,0.709594,9.5947,8.884335,0.235196,nan,0.155541,0.355698,nan,nan,nan,nan,nan,nan,nan
43,sim_B3_000_train,B3,3,train,0,0.39152,1.085108,31.3216,7.329417,0.759591,nan,nan,nan,0.338631,0.174884,0.33324,nan,nan,nan,nan
44,sim_B3_001_train,B3,3,train,1,0.514416,0.662306,41.1533,13.613491,0.49814,nan,nan,nan,0.277614,0.373711,0.089246,nan,nan,nan,nan
45,sim_B3_002_train,B3,3,train,2,0.391385,0.577285,31.3108,19.549383,0.625738,nan,nan,nan,0.134759,0.349344,0.241742,nan,nan,nan,nan
46,sim_B3_003_train,B3,3,train,3,0.134626,0.424943,10.7701,18.003677,0.380736,nan,nan,nan,0.143618,0.146946,0.265101,nan,nan,nan,nan
47,sim_B3_004_train,B3,3,train,4,0.372812,0.843323,29.825,16.028327,0.264295,nan,nan,nan,0.055678,0.290007,0.051919,nan,nan,nan,nan
